Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2025-07-17,23725.5,23737.25,23499,23724,176.25,+0.75%,1,71
2025-07-16,23547.75,23555.25,23318.5,23547.75,19,+0.08%,0,71
2025-07-15,23614.75,23670.5,23477,23528.75,24.75,+0.11%,10,71
2025-07-14,23504,23510.25,23285.25,23504,77.5,+0.33%,0,76
2025-07-11,23426.5,23483,23330.5,23426.5,-54.,-0.23%,3,76
2025-07-10,23480.5,23534,23377,23480.5,-29.5,-0.13%,0,77
2025-07-09,23538.75,23560,23321,23510,157,+0.67%,21,77
2025-07-08,23353,23411.5,23281,23353,13,+0.06%,0,63
2025-07-07,23340,23340,23340,23340,-180.,-0.77%,0,63
2025-07-03,23368,23544.75,23367,23520,245,+1.05%,11,63
2025-07-02,23266.5,23284.75,23033,23275,153.25,+0.66%,17,60
2025-07-01,23121.75,23344.25,23046.25,23121.75,-203.,-0.87%,0,55
2025-06-30,23324.75,23362.75,23324.75,23324.75,143.5,+0.62%,0,55
2025-06-27,23181.25,23248.75,23050.25,23181.25,87.25,+0.38%,0,55
2025-06-26,23094,23113,23094,23094,215,+0.94%,0,55
2025-06-25,22879,22967.25,22879,22879,56,+0.25%,0,55
2025-06-24,22770.25,22865.5,22770.25,22823,350,+1.56%,36,55
2025-06-23,22473,22478.75,22057.25,22473,230,+1.03%,0,24
2025-06-20,22243,22555.5,22181.25,22243,-102.5,-0.46%,2,24
2025-06-18,22481,22481,22345.5,22345.5,-10.5,-0.05%,11,22
2025-06-17,22356,22356,22356,22356,-211.25,-0.94%,0,14
2025-06-16,22567.25,22612.25,22567.25,22567.25,307.25,+1.38%,0,14
2025-06-13,22260,22260,22260,22260,-298.25,-1.32%,0,14
2025-06-12,22558.25,22558.25,22558.25,22558.25,45.5,+0.20%,0,14
2025-06-11,22512.75,22512.75,22512.75,22512.75,-75.,-0.33%,0,14
2025-06-10,22587.75,22587.75,22587.75,22587.75,141,+0.63%,0,14
2025-06-09,22446.75,22446.75,22446.75,22446.75,32,+0.14%,0,14
2025-06-06,22414.75,22414.75,22414.75,22414.75,210.5,+0.95%,0,11
2025-06-05,22204.25,22204.25,22204.25,22204.25,-185.25,-0.83%,0,11
2025-06-04,22389.5,22389.5,22389.5,22389.5,61,+0.27%,0,11
2025-06-03,22328.5,22328.5,22328.5,22328.5,171.5,+0.77%,0,11
2025-06-02,22157,22157,22157,22157,157.5,+0.72%,0,11
2025-05-30,22020,22020,21999.5,21999.5,-32.,-0.15%,2,11
2025-05-29,22031.5,22291,22031.5,22031.5,29.5,+0.13%,0,11
2025-05-28,22002,22002,22002,22002,-80.,-0.36%,0,11
2025-05-27,22082,22082,22082,22082,490.25,+2.27%,0,11
2025-05-23,21591.75,21591.75,21533.5,21591.75,-208.,-0.95%,0,11
2025-05-22,21799.75,21799.75,21799.75,21799.75,22,+0.10%,2,11
2025-05-21,21980,22019.5,21777.75,21777.75,-294.,-1.33%,4,11
2025-05-20,22071.75,22071.75,22070,22071.75,-78.25,-0.35%,0,11
2025-05-19,22150,22150,21889.75,22150,23.5,+0.11%,5,11
2025-05-16,22126.5,22126.5,22126.5,22126.5,111,+0.50%,0,13
2025-05-15,22150,22150,21982.5,22015.5,12.75,+0.06%,1,13
2025-05-14,22002.75,22002.75,22002.75,22002.75,132.25,+0.60%,0,13
2025-05-13,21870.5,21870.5,21870.5,21870.5,334.75,+1.55%,0,13
2025-05-12,21468.5,21535.75,21468.5,21535.75,826.5,+3.99%,5,13
2025-05-09,20709.25,20709.25,20709.25,20709.25,-11.,-0.05%,0,15
2025-05-08,20720.25,20722,20720.25,20720.25,191.25,+0.93%,0,15
2025-05-07,20529,20529,20529,20529,85.5,+0.42%,0,15
2025-05-06,20443.5,20443.5,20432,20443.5,-182.,-0.88%,0,15
2025-05-05,20625.5,20625.5,20625.5,20625.5,-139.75,-0.67%,0,15
2025-05-02,20765.25,20765.25,20390,20765.25,331.25,+1.62%,4,15
2025-05-01,20434,20514,20434,20434,224,+1.11%,0,11
2025-04-30,20210,20270.25,19804.75,20210,10.25,+0.05%,0,11
2025-04-29,20199.75,20199.75,20026.5,20199.75,114,+0.57%,0,11
2025-04-28,20085.75,20085.75,19914,20085.75,-7.,-0.03%,0,11
2025-04-25,20092.75,20092.75,19866.75,20092.75,213,+1.07%,0,11
2025-04-24,19879.75,19879.75,19314.5,19879.75,524.25,+2.71%,0,11
2025-04-23,19355.5,19370,19355.5,19355.5,423.5,+2.24%,0,11
2025-04-22,18932,18932,18932,18932,464.25,+2.51%,0,11
2025-04-21,18467.75,18467.75,18340.5,18467.75,-466.75,-2.47%,0,11
2025-04-17,18934.5,18994.5,18934.5,18934.5,-2.5,-0.01%,0,11
2025-04-16,18968,18968,18803.5,18937,-581.5,-2.98%,1,11
2025-04-15,19518.5,19562.25,19493,19518.5,23,+0.12%,0,10
2025-04-14,19469,19670.75,19433.5,19495.5,131.25,+0.68%,1,10
2025-04-11,19364.25,19364.25,18761.75,19364.25,328,+1.72%,0,9
2025-04-10,19036.25,19036.25,18734.5,19036.25,-822.5,-4.14%,0,9
2025-04-09,19428,19858.75,17438.25,19858.75,2082.75,+11.72%,2,9
2025-04-08,17776,17776,17667.25,17776,-340.,-1.88%,0,9
2025-04-07,18116,18116,17151,18116,26,+0.14%,0,9
2025-04-04,18428,18428,18090,18090,-1152.,-5.99%,2,9
2025-04-03,19242,19242,19242,19242,-1096.,-5.39%,0,7
2025-04-02,20338,20338,20000,20338,161,+0.80%,0,7
2025-04-01,20177,20177,20177,20177,113.5,+0.57%,0,7
2025-03-31,20063.5,20063.5,20063.5,20063.5,-13.5,-0.07%,0,7
2025-03-28,20077,20077,20077,20077,-546.,-2.65%,0,7
2025-03-27,20623,20623,20623,20623,-128.,-0.62%,0,7
2025-03-26,20751,20751,20751,20751,-372.5,-1.76%,0,7
2025-03-25,21123.5,21123.5,21123.5,21123.5,114.25,+0.54%,0,7
2025-03-24,21009.25,21009.25,21009.25,21009.25,416.5,+2.02%,0,7
2025-03-21,20592.75,20592.75,20421,20592.75,80,+0.39%,0,7
2025-03-20,20512.75,20595,20512.75,20512.75,-69.5,-0.34%,0,7
2025-03-19,20582.25,20653,20582.25,20582.25,249.75,+1.23%,0,7
2025-03-18,20332.5,20332.5,20316.5,20332.5,-341.,-1.65%,0,7
2025-03-17,20673.5,20700.75,20673.5,20673.5,161,+0.78%,0,7
2025-03-14,20512.5,20512.5,20512.5,20512.5,470,+2.35%,0,7
2025-03-13,20042.5,20042.5,20042.5,20042.5,-372.,-1.82%,0,7
2025-03-12,20414.5,20414.5,20414.5,20414.5,161.25,+0.80%,0,7
2025-03-11,20279,20331,20119.5,20253.25,-51.75,-0.25%,7,7
2025-03-10,20305,20305,20251.5,20305,-795.75,-3.77%,0,0
2025-03-07,21100.75,21100.75,20781.75,21100.75,140,+0.67%,0,0
2025-03-06,20960.75,20960.75,20960.75,20960.75,-587.75,-2.73%,0,0
2025-03-05,21548.5,21548.5,21548.5,21548.5,268.5,+1.26%,0,0
2025-03-04,21280,21280,21280,21280,-73.75,-0.35%,0,0
2025-03-03,21353.75,21353.75,21353.75,21353.75,-455.75,-2.09%,0,0
2025-02-28,21809.5,21809.5,21809.5,21809.5,309.25,+1.44%,0,0
2025-02-27,21500.25,22107,21500.25,21500.25,-591.5,-2.68%,0,0
2025-02-26,22091.75,22138,22091.75,22091.75,37.5,+0.17%,0,0
2025-02-25,22054.25,22054.25,22053.5,22054.25,-273.75,-1.23%,0,0
2025-02-24,22328,22328,22328,22328,-258.25,-1.14%,0,0
2025-02-21,22586.25,22586.25,22586.25,22586.25,-468.75,-2.03%,0,0
2025-02-20,23055,23055,23019,23055,-110.75,-0.48%,0,0
2025-02-19,23165.75,23165.75,23165.75,23165.75,18.75,+0.08%,0,0
2025-02-18,23147,23147,23147,23147,35.5,+0.15%,0,0
2025-02-14,23111.5,23111.5,23111.5,23111.5,85.75,+0.37%,0,0
2025-02-13,23025.75,23025.75,23025.75,23025.75,310,+1.36%,0,0
2025-02-12,22715.75,22715.75,22585.25,22715.75,18.25,+0.08%,0,0
2025-02-11,22697.5,22697.5,22697.5,22697.5,-60.5,-0.27%,0,0
2025-02-10,22758,22758,22758,22758,258,+1.15%,0,0
2025-02-07,22500,22500,22500,22500,-281.75,-1.24%,0,0
2025-02-06,22781.75,22781.75,22781.75,22781.75,108.75,+0.48%,0,0
2025-02-05,22673,22673,22566.75,22673,94.25,+0.42%,0,0
2025-02-04,22578.75,22578.75,22578.75,22578.75,268.5,+1.20%,0,0
2025-02-03,22310.25,22310.25,22043.5,22310.25,-186.25,-0.83%,0,0
2025-01-31,22496.5,22689.25,22496.5,22496.5,-34.,-0.15%,0,0
2025-01-30,22530.5,22530.5,22530.5,22530.5,102,+0.45%,0,0
2025-01-29,22428.5,22428.5,22428.5,22428.5,-56.75,-0.25%,0,0
2025-01-28,22485.25,22485.25,22485.25,22485.25,323.25,+1.46%,0,0
2025-01-27,22162,22162,22162,22162,-658.75,-2.89%,0,0
2025-01-24,22820.75,22820.75,22820.75,22820.75,-127.5,-0.56%,0,0
2025-01-23,22948.25,22948.25,22948.25,22948.25,37.25,+0.16%,0,0
2025-01-22,22911,22911,22911,22911,299.75,+1.33%,0,0
2025-01-21,22611.25,22611.25,22611.25,22611.25,115.75,+0.51%,0,0
2025-01-17,22495.5,22495.5,22495.5,22495.5,345.25,+1.56%,0,0
2025-01-16,22150.25,22150.25,22150.25,22150.25,-151.5,-0.68%,0,0
2025-01-15,22301.75,22301.75,22301.75,22301.75,483.75,+2.22%,0,0
2025-01-14,21818,21859.25,21818,21818,-28.25,-0.13%,0,0
2025-01-13,21846.25,21846.25,21777,21846.25,-68.5,-0.31%,0,0
2025-01-10,21914.75,21914.75,21914.75,21914.75,-345.25,-1.55%,0,0
2025-01-09,22260,22260,22227,22260,0,0.00%,0,0
2025-01-08,22260,22260,22227,22260,-1.,0.00%,0,0
2025-01-07,22261,22261,22261,22261,-385.,-1.70%,0,0
2025-01-06,22646,22646,22646,22646,267.5,+1.20%,0,0
2025-01-03,22378.5,22378.5,22378.5,22378.5,355.5,+1.61%,0,0
2025-01-02,22023,22153.25,22023,22023,-61.,-0.28%,0,0
"Downloaded from Barchart.com as of 03-05-2026 06:11am CST"
