Date,Type,Entry Time,Entry Price,Exit Price,Stop Loss,Take Profit,PnL,Reason,Capital,Cumulative Equity
2025-10-28,Short,2025-10-28 17:00:00,6890.89,6890.89,6904.18089,6874.63,-0.0,End of Day,113771.22511959338,113771.22511959338
2025-10-30,Long,2025-10-30 11:30:00,6870.34,6853.62966,6853.62966,6894.84,-1000.0,Stop Loss,112771.22511959338,112771.22511959338
2025-10-30,Long,2025-10-30 13:00:00,6871.5,6854.7485,6854.7485,6894.84,-1000.0,Stop Loss,111771.22511959338,111771.22511959338
2025-11-03,Short,2025-11-03 12:15:00,6845.17,6858.075169999999,6858.075169999999,6814.26,-1000.0,Stop Loss,110771.22511959338,110771.22511959338
2025-11-05,Short,2025-11-05 16:30:00,6814.83,6796.29,6828.98483,6766.71,1309.8002589928271,End of Day,112081.0253785862,112081.0253785862
2025-11-06,Long,2025-11-06 13:00:00,6731.76,6715.74824,6715.74824,6796.63,-1000.0,Stop Loss,111081.0253785862,111081.0253785862
2025-11-06,Long,2025-11-06 15:30:00,6754.76,6733.99524,6733.99524,6796.63,-999.9999999999999,Stop Loss,110081.0253785862,110081.0253785862
2025-11-07,Long,2025-11-07 15:45:00,6651.17,6721.21,6639.63883,6721.21,6073.971678502593,Take Profit,116154.9970570888,116154.9970570888
2025-11-11,Short,2025-11-11 16:45:00,6850.66,6846.61,6857.55066,6830.35,587.752116633264,End of Day,116742.74917372206,116742.74917372206
2025-11-17,Long,2025-11-17 17:00:00,6672.41,6672.41,6651.88759,6735.37,0.0,End of Day,116742.74917372206,116742.74917372206
2025-11-18,Long,2025-11-18 12:15:00,6635.14,6603.90486,6603.90486,6673.75,-1000.0,Stop Loss,115742.74917372206,115742.74917372206
2025-11-18,Long,2025-11-18 15:15:00,6654.31,6639.26569,6639.26569,6673.75,-1000.0,Stop Loss,114742.74917372206,114742.74917372206
2025-11-20,Short,2025-11-20 11:45:00,6713.41,6622.49,6765.893410000001,6622.49,1732.3569486052604,Take Profit,116475.10612232731,116475.10612232731
2025-11-26,Short,2025-11-26 17:00:00,6812.61,6812.61,6830.65261,6765.43,-0.0,End of Day,116475.10612232731,116475.10612232731
2025-12-11,Short,2025-12-11 16:30:00,6894.9,6901.0,6904.6949,6882.79,-622.7730757843243,End of Day,115852.33304654299,115852.33304654299
2025-12-12,Long,2025-12-12 16:45:00,6824.67,6827.41,6810.25533,6903.46,190.0841295707609,End of Day,116042.41717611375,116042.41717611375
2025-12-19,Short,2025-12-19 16:45:00,6831.61,6834.5,6842.71161,6770.82,-260.3226018568628,End of Day,115782.09457425689,115782.09457425689
2025-12-24,Short,2025-12-24 14:45:00,6932.05,6932.05,6939.202050000001,6909.4,-0.0,End of Day,115782.09457425689,115782.09457425689
2026-01-05,Short,2026-01-05 16:45:00,6909.93,6902.05,6920.71993,6846.64,730.310576620995,End of Day,116512.40515087788,116512.40515087788
2026-01-06,Short,2026-01-06 12:30:00,6916.82,6933.766820000001,6933.766820000001,6892.54,-1000.0,Stop Loss,115512.40515087788,115512.40515087788
2026-01-06,Short,2026-01-06 16:45:00,6944.82,6944.82,6951.99482,6892.54,-0.0,End of Day,115512.40515087788,115512.40515087788
2026-01-09,Short,2026-01-09 13:30:00,6962.89,6973.00289,6973.00289,6920.75,-1000.0000000000001,Stop Loss,114512.40515087788,114512.40515087788
2026-01-09,Short,2026-01-09 16:45:00,6966.28,6966.28,6979.09628,6920.75,-0.0,End of Day,114512.40515087788,114512.40515087788
2026-01-12,Short,2026-01-12 16:45:00,6978.28,6977.27,6987.89828,6963.09,105.00837987657317,End of Day,114617.41353075445,114617.41353075445
2026-01-20,Long,2026-01-20 12:30:00,6866.9,6839.2831,6839.2831,6940.18,-1000.0000000000001,Stop Loss,113617.41353075445,113617.41353075445
2026-01-22,Short,2026-01-22 16:30:00,6911.44,6913.35,6935.66144,6869.91,-78.85575754376056,End of Day,113538.55777321069,113538.55777321069
2026-01-29,Long,2026-01-29 16:15:00,6902.72,6969.01,6887.81728,6986.46,4448.181271606779,End of Day,117986.73904481747,117986.73904481747
2026-02-03,Long,2026-02-03 16:30:00,6907.2,6917.81,6885.4728000000005,6986.46,488.3279944033698,End of Day,118475.06703922084,118475.06703922084
2026-02-09,Short,2026-02-09 16:30:00,6967.58,6964.82,6980.1375800000005,6930.54,219.7875705350941,End of Day,118694.85460975593,118694.85460975593
2026-02-12,Short,2026-02-12 10:30:00,6953.87,6930.54,6964.49387,6930.54,2195.9982567556976,Take Profit,120890.85286651163,120890.85286651163
2026-02-20,Short,2026-02-20 12:45:00,6876.69,6885.36669,6885.36669,6861.85,-1000.0,Stop Loss,119890.85286651163,119890.85286651163
2026-02-23,Long,2026-02-23 14:30:00,6847.54,6826.672460000001,6826.672460000001,6915.86,-1000.0,Stop Loss,118890.85286651163,118890.85286651163
